1,und,1063,51,407
1,und,1108,-78,279
1,und,1071,-102,188
1,und,965,18,142
1,und,870,204,119
1,und,710,392,243
1,und,658,403,301
1,und,624,298,239
1,und,627,52,134
1,und,705,98,119
1,und,708,-54,-203
1,und,698,-23,-432
1,und,626,25,-41
1,und,597,-156,254
1,und,570,-296,245
1,und,485,-228,135
1,und,348,-28,-49
1,und,357,339,-69
1,und,352,472,146
1,und,403,149,70
1,und,428,-202,-3
1,und,339,-154,-30
1,und,3,539,-27
1,und,-410,840,-44
1,und,306,377,574
1,und,1127,-1193,317
1,und,492,-1522,132
1,und,716,163,-325
1,und,109,21,-349
1,und,234,-9,-234
1,und,203,250,-99
1,und,129,90,-91
1,und,114,-99,-96
1,und,196,-83,146
1,und,150,-305,53
1,und,180,-410,-57
1,und,283,-325,-148
1,und,320,-168,-102
1,und,317,-17,-67
1,und,259,185,-109
1,und,253,297,-68
1,und,303,305,-19
1,und,328,249,43
1,und,373,-28,141
1,und,540,-114,227
1,und,517,-26,153
1,und,522,69,75
1,und,513,187,96
1,und,504,150,136
1,und,578,-80,139
1,und,939,-599,-157
1,und,1001,-486,-298
1,und,942,-229,-236
1,und,880,62,-54
1,und,804,222,103
1,und,787,238,231
1,und,868,-25,269
1,und,1013,-142,321
1,und,1176,-97,328
1,und,1275,-12,275
1,und,1312,106,216
1,und,1200,337,273
1,und,1179,502,398
1,und,1287,552,658
1,und,1431,322,888
1,und,1587,20,1007
1,und,1803,-136,707
1,und,1805,1,452
1,und,1715,181,300
1,und,1635,352,294
1,und,1632,393,515
1,und,1656,188,810
1,und,1806,-66,952
1,und,1816,9,937
1,und,1813,190,958
1,und,1822,253,1022
1,und,1868,183,1072
1,und,1940,80,950
1,und,1995,-74,775
1,und,1995,-132,604
1,und,1995,-191,464
1,und,1995,-214,410
1,und,1995,-194,416
1,und,1917,-10,624
1,und,1789,103,705
1,und,1653,218,734
1,und,1523,321,705
1,und,1425,355,622
1,und,1377,314,511
1,und,1282,297,322
1,und,1205,377,327
1,und,1127,399,361
1,und,1081,342,375
1,und,1072,207,315
1,und,1115,-20,-54
1,und,1115,-31,-260
1,und,1090,-18,-361
1,und,1034,0,-322
1,und,956,102,-187
1,und,852,193,-58
1,und,680,275,-25
1,und,655,196,-44
1,und,653,73,-18
1,und,623,32,58
1,und,519,84,114
1,und,506,320,-94
1,und,503,335,-229
1,und,528,245,-284
1,und,560,122,-239
1,und,594,22,-221
1,und,521,-272,13
1,und,541,-155,491
1,und,527,182,129
1,und,546,-218,51
1,und,583,-577,148
1,und,535,-712,249
1,und,392,-495,27
1,und,317,-337,-95
1,und,219,-174,-58
1,und,120,-12,85
1,und,58,66,178
1,und,31,87,162
1,und,54,92,-25
1,und,56,42,-83
1,und,65,43,-96
1,und,76,59,-103
1,und,77,54,-126
1,und,112,63,-147
1,und,174,19,-135
1,und,195,-65,-92
1,und,258,-228,-104
1,und,308,-363,-162
1,und,303,-397,-182
1,und,238,-112,-80
1,und,208,263,86
1,und,157,521,304
1,und,176,524,425
1,und,290,286,355
1,und,404,-41,99
1,und,708,-350,-545
1,und,679,-100,-712
1,und,575,335,-606
1,und,503,660,-228
1,und,512,657,172
